Sample_ID,Village_Name,Latitude,Longitude,District,State,Land_Use_Type,Irrigation_Type,Sand_percent,Silt_percent,Clay_percent,Soil_Texture_Class,Soil_Temperature_C,pH,EC_dS_m,Organic_Carbon_percent,Available_N_kg_ha,Available_P_kg_ha,Available_K_kg_ha,Available_S_mg_kg,Fe_mg_kg,Mn_mg_kg,Zn_mg_kg,Cu_mg_kg,Heavy_Metal_Pb,Heavy_Metal_Cd,Heavy_Metal_Cr,Pesticide_Residue_Level,Industrial_Contamination_Flag,Groundwater_Depth_m,Fertilizer_Use_kg_per_ha,Cropping_Intensity_percent,Soil_Erosion_Risk,Soil_Health_Status,Soil_Pollution_Status,Sustainability_Index,Soil_Health_Card_Issued,Covered_Under_NMSA,PMKSY_Irrigation_Beneficiary,Digital_Soil_Record_Available
87,Pimpalgaon,19.517046,73.775234,Ahmednagar,Maharashtra,Fallow,Flood,56.1,39.5,4.4,Sandy,31.4,6.19,0.41,0.32,217,25,130,15.31,3.19,1.09,1.28,0.46,11.9,1.01,0.69,Safe,29,104,176,Medium,Moderate,Safe,74,No,Yes,Yes,Yes,
88,Murshet,19.654975,73.674291,Ahmednagar,Maharashtra,Fallow,Rainfed,38.7,38.5,22.8,Clayey,32.6,6.19,0.35,0.48,298,16,267,20.69,1.1,5.68,0.81,0.35,19.74,1.5,0.67,Contaminated,18.4,214,141,High,Healthy,Contaminated,52,Yes,Yes,No,Yes,
89,Pimpalgaon,19.432651,73.869442,Ahmednagar,Maharashtra,Industrial,Flood,21.4,34.3,44.3,Clayey,33.5,6.31,1.12,0.76,209,14,82,23.31,1.32,7.61,1.39,0.63,29.97,1.5,0.25,Safe,15.9,108,174,Low,Moderate,Safe,51,No,No,No,Yes,
90,Pimpalgaon,19.455804,73.860275,Ahmednagar,Maharashtra,Agricultural,Rainfed,24.5,37.9,37.6,Loamy,26.4,7.2,0.16,0.33,326,16,349,16.89,1.11,5.15,1.11,0.69,15.79,0.54,0.24,Safe,30.8,298,145,Medium,Healthy,Safe,79,Yes,Yes,Yes,No,
91,Chichondi,19.456559,73.854183,Ahmednagar,Maharashtra,Agricultural,Flood,45.9,22.2,31.9,Sandy,29.5,5.95,0.85,0.53,329,14,354,9.74,1.23,6.99,0.98,0.59,27.45,1.45,0.04,Safe,38.7,135,209,High,Moderate,Safe,63,No,No,Yes,No,
92,Chichondi,19.526365,73.776375,Ahmednagar,Maharashtra,Industrial,Rainfed,33.1,14.4,52.5,Clayey,29.5,5.84,0.61,0.57,205,24,346,16.64,4.54,1.15,0.18,0.79,51.93,1.73,0.87,Safe,25.5,239,204,Medium,Moderate,Safe,64,Yes,No,No,Yes,
93,Pimpalgaon,19.445921,73.740927,Ahmednagar,Maharashtra,Agricultural,Rainfed,27.6,36.1,36.3,Clayey,31.3,7.54,0.2,0.81,337,24,301,13.39,1.17,6.55,0.69,0.17,22.49,1.5,0.53,Contaminated,30.8,121,215,Low,Moderate,Contaminated,58,No,No,No,No,
94,Murshet,19.419997,73.766251,Ahmednagar,Maharashtra,Forest,Drip,49.4,31.7,18.9,Loamy,30.1,6.13,0.68,1,145,20,88,21.48,1.48,1.96,0.61,0.9,17.09,0.92,0.17,Safe,12.1,170,148,High,Poor,Safe,64,Yes,Yes,No,No,
95,Akole,19.49767,73.82475,Ahmednagar,Maharashtra,Agricultural,Rainfed,35.5,38.8,25.7,Sandy,33.6,7.61,0.7,0.54,173,22,359,18.41,2.55,1.57,0.58,0.1,21.73,1.95,0.13,Safe,24.1,128,228,Medium,Poor,Safe,84,No,Yes,No,Yes,
96,Rajur,19.652754,73.837723,Ahmednagar,Maharashtra,Residential,Flood,38.6,14.7,46.7,Loamy,32,5.89,0.96,0.94,251,9,201,22.31,2.02,6.48,1.26,0.79,52.66,1.04,0.98,Contaminated,16.4,264,128,Low,Moderate,Contaminated,70,Yes,No,No,Yes,
97,Rajur,19.63728,73.838754,Ahmednagar,Maharashtra,Agricultural,Rainfed,31.2,23.3,45.5,Clayey,26.6,6.39,0.34,0.44,137,15,121,6.85,2.94,6.16,0.63,1,42.73,1.83,0.28,Safe,12.5,253,206,Low,Poor,Safe,71,Yes,No,No,No,
98,Akole,19.693092,73.70195,Ahmednagar,Maharashtra,Industrial,Rainfed,48.3,15.8,35.9,Clayey,28.3,5.94,0.5,0.59,231,12,400,18.95,1.91,3.99,1.36,1,49.92,1.58,0.14,Safe,37.8,134,235,High,Moderate,Safe,84,Yes,Yes,No,Yes,
99,Chichondi,19.623209,73.632289,Ahmednagar,Maharashtra,Industrial,Flood,54.1,39.5,6.4,Sandy,23.3,6.43,0.7,0.85,184,6,108,12.96,4.29,4.24,0.67,1.09,29.76,1.16,0.63,Contaminated,9.9,147,158,Low,Moderate,Contaminated,65,No,No,No,No,
100,Pimpalgaon,19.685488,73.820341,Ahmednagar,Maharashtra,Industrial,Flood,31,34.7,34.3,Loamy,22.1,6.22,0.98,0.99,212,7,389,8.91,2.6,6.61,0.22,1.13,36.82,0.45,0.89,Safe,7.2,54,220,Medium,Moderate,Safe,43,Yes,No,Yes,No,
